timestamp,uptimeInS,gs_wdt_time_left_s,counter_wdt_gs,mpptConverterVoltage_0,mpptConverterVoltage_1,mpptConverterVoltage_2,mpptConverterVoltage_3,curSolarPanels_0,curSolarPanels_1,curSolarPanels_2,curSolarPanels_3,curSolarPanels_4,curSolarPanels_5,curSolarPanels_6,curSolarPanels_7,vBatt,curSolar,curBattIn,curBattOut,curOutput_0,curOutput_1,curOutput_2,curOutput_3,curOutput_4,curOutput_5,curOutput_6,curOutput_7,curOutput_8,curOutput_9,curOutput_10,curOutput_11,curOutput_12,curOutput_13,curOutput_14,curOutput_15,curOutput_16,curOutput_17,AOcurOutput_0,AOcurOutput_1,outputConverterVoltage_0,outputConverterVoltage_1,outputConverterVoltage_2,outputConverterVoltage_3,outputConverterVoltage_4,outputConverterVoltage_5,outputConverterVoltage_6,outputConverterVoltage_7,outputConverterState,outputStatus,outputFaultStatus,outputOnDelta_0,outputOnDelta_1,outputOnDelta_2,outputOnDelta_3,outputOnDelta_4,outputOnDelta_5,outputOnDelta_6,outputOnDelta_7,outputOnDelta_8,outputOnDelta_9,outputOnDelta_10,outputOnDelta_11,outputOnDelta_12,outputOnDelta_13,outputOnDelta_14,outputOnDelta_15,outputOnDelta_16,outputOnDelta_17,outputOffDelta_0,outputOffDelta_1,outputOffDelta_2,outputOffDelta_3,outputOffDelta_4,outputOffDelta_5,outputOffDelta_6,outputOffDelta_7,outputOffDelta_8,outputOffDelta_9,outputOffDelta_10,outputOffDelta_11,outputOffDelta_12,outputOffDelta_13,outputOffDelta_14,outputOffDelta_15,outputOffDelta_16,outputOffDelta_17,outputFaultCnt_0,outputFaultCnt_1,outputFaultCnt_2,outputFaultCnt_3,outputFaultCnt_4,outputFaultCnt_5,outputFaultCnt_6,outputFaultCnt_7,outputFaultCnt_8,outputFaultCnt_9,outputFaultCnt_10,outputFaultCnt_11,outputFaultCnt_12,outputFaultCnt_13,outputFaultCnt_14,outputFaultCnt_15,outputFaultCnt_16,outputFaultCnt_17,temp_0,temp_1,temp_2,temp_3,temp_4,temp_5,temp_6,temp_7,temp_8,temp_9,temp_10,temp_11,temp_12,temp_13,battState,mpptMode,batHeaterMode,batHeaterState,Unnamed: 123,time,angle,sin_of_angle,room_temperature,detection,distance,detection_recording_timestamp,execution_time,execution_time_recording_timestamp
2022-06-22 09:30:00.727874994,5890,20061,32,295,263,259,272,0,0,0,0,0,0,0,0,8383,108,10,0,0,0,0,135,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,39,0,3345,5013,12098,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,44.25005636027562,0.6977797900915615,22.00917298124193,1.0,259.5633850097656,1666593814.5677328,7.000000000000001e-06,1666593814.428101
2022-06-22 09:30:05.827910900,5895,20056,32,290,268,259,272,0,0,0,0,0,0,0,0,8380,106,5,0,0,0,0,140,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,35,0,3345,5013,12116,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,44.59503800912864,0.7020855766522754,22.01007460987421,0.0,20.175447463989258,1666593814.592865,5e-06,1666593814.434255
2022-06-22 09:30:10.927917004,5900,20051,32,290,268,259,272,0,0,0,0,0,0,0,0,8380,106,5,0,0,0,0,136,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3350,5013,12098,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,44.934800881081486,0.7062904858861558,22.01097623325657,0.0,15.088380813598633,1666593814.6185436,5e-06,1666593814.4404917
2022-06-22 09:30:16.027924061,5905,20046,32,286,268,259,272,0,0,0,0,0,0,0,0,8380,109,3,0,0,0,0,137,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,36,0,3341,5009,12112,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,45.27265362942325,0.7104584676345169,22.01187785677471,0.0,14.251945495605469,1666593814.6445854,4.000000000000001e-06,1666593814.4472342
2022-06-22 09:30:21.127959967,5910,20040,32,286,268,259,272,0,0,0,0,0,0,0,0,8380,109,3,0,0,0,0,141,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,36,0,3341,5009,12098,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,45.61596056020274,0.7146555895391016,22.012779485452246,0.0,60.59373092651367,1666593814.6701167,5e-06,1666593814.4534857
2022-06-22 09:30:26.227966070,5915,20035,32,299,268,259,272,0,0,0,0,0,0,0,0,8380,111,5,0,0,0,0,131,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,36,0,3345,5013,12107,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,45.961025812368334,0.7188620872966974,22.013681108789353,0.0,25.291481018066406,1666593814.6953993,5e-06,1666593814.458887
2022-06-22 09:30:31.328002930,5920,20030,32,295,268,259,268,0,0,0,0,0,0,0,0,8380,111,5,0,0,0,0,138,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3345,5013,12094,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,46.294814579894414,0.72289337708858,22.014582737602662,0.0,19.853137969970703,1666593814.7210507,5e-06,1666593814.464384
2022-06-22 09:30:36.528014898,5925,20025,32,295,268,259,272,0,0,0,0,0,0,0,0,8380,103,5,0,0,0,0,136,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,39,0,3350,5009,12094,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,46.63190352794283,0.7269533052178045,22.01550204089451,0.0,18.55365562438965,1666593814.7471266,5e-06,1666593814.4707901
2022-06-22 09:30:41.828032970,5931,20019,32,286,268,259,272,0,0,0,0,0,0,0,0,8380,103,5,0,0,0,0,138,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3345,5009,12112,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,46.99412297620926,0.731270464904043,22.0164390241411,0.0,17.039018630981445,1666593814.7735183,4.000000000000001e-06,1666593814.476674
2022-06-22 09:30:46.928040028,5936,20014,32,286,268,259,272,0,0,0,0,0,0,0,0,8380,105,3,0,0,0,0,134,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3341,5013,12098,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,47.34635059757641,0.7354600352533195,22.017340647659235,0.0,10.632169723510742,1666593814.7998452,5e-06,1666593814.4817536
2022-06-22 09:30:52.028075933,5941,20009,32,286,268,259,272,0,0,0,0,0,0,0,0,8380,105,3,0,0,0,0,129,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3345,5009,12112,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,47.67941210719785,0.7393773192107821,22.01824227633677,0.0,17.96811866760254,1666593814.8255062,5e-06,1666593814.487857
2022-06-22 09:30:57.128082037,5946,20004,32,299,263,250,272,0,0,0,0,0,0,0,0,8380,105,3,0,0,0,0,53,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,35,0,3345,5009,12103,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,48.01001515481182,0.7432596820607292,22.018614474030073,0.0,18.170883178710938,1666593814.8517547,5e-06,1666593814.494016
2022-06-22 09:31:02.228087902,5951,19999,32,290,259,241,272,0,0,0,0,0,0,0,0,8366,0,0,73,0,0,0,89,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,39,0,3345,5009,12112,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,48.353699725970664,0.7472481846253305,22.018304259563365,0.0,14.102940559387207,1666593814.877736,4.000000000000001e-06,1666593814.500011
2022-06-22 09:31:07.328125000,5956,19994,32,277,250,232,272,0,0,0,0,0,0,0,0,8366,0,0,73,0,0,0,131,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,35,0,3345,5009,12107,4973,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,48.69868035743098,0.7512472103983215,22.01799404319693,0.0,15.892213821411133,1666593814.9044254,5e-06,1666593814.5058727
2022-06-22 09:31:12.428222895,5961,19989,32,272,250,223,272,0,0,0,0,0,0,0,0,8362,0,0,87,0,0,0,135,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,39,0,3345,5009,12098,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,49.04363698196526,0.7551956921129053,22.017683823124468,0.0,13.770834922790527,1666593814.930392,5e-06,1666593814.5118968
2022-06-22 09:31:17.628174067,5966,19984,32,268,245,219,272,0,0,0,0,0,0,0,0,8362,0,0,87,0,0,0,137,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,33,0,3345,5013,12094,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,49.39534535289042,0.7592178104907517,22.017367529360484,0.0,18.361553192138672,1666593814.9565058,5e-06,1666593814.5188925
2022-06-22 09:31:22.928191900,5972,19978,32,263,241,210,272,0,0,0,0,0,0,0,0,8360,0,0,91,0,0,0,141,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,36,0,3345,5013,12112,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,49.74652647797097,0.7631803564065096,22.017045148902753,0.0,15.473555564880371,1666593814.9828622,5e-06,1666593814.5255134
2022-06-22 09:31:28.028198004,5977,19973,32,290,241,210,272,0,0,0,0,0,0,0,0,8360,0,0,91,0,0,0,136,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,33,0,3345,5013,12107,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,50.08400975831569,0.76698513012198,22.016734934436045,0.0,15.822179794311523,1666593815.0088372,4.000000000000001e-06,1666593814.532108
2022-06-22 09:31:33.128235101,5982,19968,32,281,237,205,272,0,0,0,0,0,0,0,0,8356,0,0,87,0,0,0,134,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3345,5009,12103,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,50.41456438120736,0.7706627553899077,22.016424718069604,0.0,24.2791690826416,1666593815.0346107,5e-06,1666593814.5385203
2022-06-22 09:31:38.228240967,5987,19963,32,272,237,201,272,0,0,0,0,0,0,0,0,8356,0,0,87,0,0,0,136,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3345,5009,12107,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,50.74646702472986,0.7743518717135902,22.016114503602896,0.0,12.816751480102539,1666593815.0927944,0.41898700000000005,1666593815.0373018
2022-06-22 09:31:43.328247070,5992,19958,32,268,237,201,277,0,0,0,0,0,0,0,0,8353,0,0,91,0,0,0,138,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,40,0,3345,5013,12094,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,51.09859379076459,0.7782134653011334,22.015804289120613,0.0,12.678522109985352,1666593815.1186304,5e-06,1666593815.0426123
2022-06-22 09:31:48.428283930,5997,19953,32,263,237,196,272,0,0,0,0,0,0,0,0,8353,0,0,91,0,0,0,136,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,36,0,3345,5013,12107,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,51.4488688606304,0.7820501879346259,22.015494072769748,0.0,16.2172908782959,1666593815.1445837,5e-06,1666593815.0483742
2022-06-22 09:31:53.528625011,6002,19948,32,259,232,196,272,0,0,0,0,0,0,0,0,8356,0,0,84,0,0,0,135,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3345,5013,12098,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,51.779450473695725,0.7856224028392668,22.015183837919903,0.0,11.03235149383545,1666593815.1700494,4.000000000000001e-06,1666593815.0546157
2022-06-22 09:31:58.728302002,6008,19943,32,290,241,205,272,0,0,0,0,0,0,0,0,8356,0,0,84,0,0,0,138,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3345,5013,12107,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,52.117384061535624,0.7892671546421739,22.015478764436484,0.0,21.373512268066406,1666593815.1961265,5e-06,1666593815.0597332
2022-06-22 09:32:04.028320074,6013,19937,32,286,245,219,272,0,0,0,0,0,0,0,0,8353,0,0,91,0,0,0,131,0,0,0,0,0,3,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3350,5009,12098,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,41,40,40,39,127,127,127,127,127,3,2,0,0,,,52.46827263893424,0.7930031111023802,22.016025248696277,0.0,14.072474479675293,1666593815.2221231,5e-06,1666593815.0648518
2022-06-22 09:32:09.128356934,6018,19932,32,286,245,223,272,0,0,0,0,0,0,0,0,8353,0,0,91,0,0,0,139,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,35,0,3345,5013,12116,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,52.8086724242756,0.7966162829631892,22.01655111293157,0.0,16.518598556518555,1666593815.392045,0.132256,1666593815.2255008
2022-06-22 09:32:14.228363037,6023,19927,32,281,254,228,272,0,0,0,0,0,0,0,0,8353,0,0,91,0,0,0,130,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,35,0,3341,5013,12112,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,53.160732565740425,0.8003065089886813,22.017076973999327,0.0,9.590099334716797,1666593815.4179132,5e-06,1666593815.2313602
2022-06-22 09:32:19.328460932,6028,19922,32,281,254,232,272,0,0,0,0,0,0,0,0,8353,0,0,91,0,0,0,139,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,33,0,3345,5009,12094,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,53.50971478281428,0.8039524274694804,22.017602844543294,0.0,16.172462463378906,1666593815.4430387,4.000000000000001e-06,1666593815.2376149
2022-06-22 09:32:24.428406000,6033,19917,32,281,254,237,272,0,0,0,0,0,0,0,0,8351,0,0,87,0,0,0,143,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,33,0,3341,5018,12112,4973,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,53.84735039911309,0.8074351412085189,22.018128699302377,0.0,10.595701217651367,1666593815.4684026,5e-06,1666593815.2431474
2022-06-22 09:32:29.528441905,6038,19912,32,299,259,245,272,0,0,0,0,0,0,0,0,8351,0,0,87,0,0,0,131,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,35,0,3345,5013,12103,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,54.18501002873489,0.8109049402318157,22.018654563432086,0.0,12.8794527053833,1666593815.493644,5e-06,1666593815.2485971
2022-06-22 09:32:34.628448009,6043,19907,32,299,259,245,272,0,0,0,0,0,0,0,0,8349,0,0,95,0,0,0,136,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,36,0,3341,5009,12094,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,54.52272576672128,0.8143328436921818,22.019180424499844,0.0,9.8962984085083,1666593815.5189571,5e-06,1666593815.2536573
2022-06-22 09:32:39.828460932,6049,19901,32,295,259,245,272,0,0,0,0,0,0,0,0,8349,0,0,95,0,0,0,143,0,0,0,0,0,3,32767,32767,32767,32767,32767,32767,32767,32767,38,0,3345,5009,12098,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,54.86908875731586,0.8178323399654767,22.019716597269202,0.0,11.312283515930176,1666593815.5440457,5e-06,1666593815.2588944
2022-06-22 09:32:45.128479004,6054,19896,32,290,259,245,272,0,0,0,0,0,0,0,0,8351,0,0,87,0,0,0,137,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,36,0,3345,5013,12094,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,55.22758232180571,0.8214109530005836,22.020263081528995,0.0,14.068077087402344,1666593815.5697367,5e-06,1666593815.2640224
2022-06-22 09:32:50.228516102,6059,19891,32,286,259,250,272,0,0,0,0,0,0,0,0,8351,0,0,87,0,0,0,139,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,36,0,3345,5009,12107,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,55.56765799582921,0.8247867669549829,22.020788945790684,0.0,9.613972663879395,1666593815.5949123,4.000000000000001e-06,1666593815.2701368
2022-06-22 09:32:55.328521967,6064,19886,32,281,259,250,272,0,0,0,0,0,0,0,0,8349,0,0,87,0,0,0,137,0,0,1,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,35,0,3341,5009,12107,4978,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,55.8983242285461,0.828032215014098,22.021125605023997,0.0,10.822240829467773,1666593815.6206746,5e-06,1666593815.2759514
2022-06-22 09:33:00.428558111,6069,19881,32,308,263,250,272,0,0,0,0,0,0,0,0,8349,0,0,87,0,0,0,139,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,33,0,3345,5013,12098,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,56.23157604511683,0.8312823923827358,22.02011622288,0.0,13.002082824707031,1666593815.6462574,5e-06,1666593815.2812397
2022-06-22 09:33:05.528563976,6074,19876,32,304,263,254,272,0,0,0,0,0,0,0,0,8347,0,0,87,0,0,0,131,0,0,0,0,0,0,32767,32767,32767,32767,32767,32767,32767,32767,33,0,3345,5013,12107,4982,0,0,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,41,41,40,40,40,39,127,127,127,127,127,3,2,0,0,,,56.569300513040545,0.8345407079800936,22.019106846714664,0.0,14.08739948272705,1666593815.6717257,5e-06,1666593815.2872126
